timestamp,user,system
1732062130,0.0,0.1
1732062131,0.8,0.4
1732062132,0.4,0.4
1732062133,0.1,0.1
1732062134,0.0,0.0
1732062135,0.2,0.3
1732062136,0.5,0.1
1732062137,1.9,0.8
1732062138,12.0,4.2
1732062139,11.6,5.1
1732062140,10.8,4.2
1732062141,11.3,4.1
1732062142,6.1,2.2
1732062143,4.0,2.3
1732062144,7.0,3.6
1732062145,2.3,1.1
1732062146,6.0,2.4
1732062147,7.4,3.0
1732062148,8.1,3.8
1732062149,11.2,4.3
1732062150,11.0,4.1
1732062151,10.2,4.6
1732062152,9.4,3.4
1732062153,9.4,3.5
1732062154,11.6,4.2
1732062155,12.1,4.3
1732062156,7.8,3.3
1732062157,9.8,3.4
1732062158,11.9,4.3
1732062159,7.5,2.4
1732062160,9.8,3.3
1732062161,10.1,3.8
1732062162,12.3,4.7
1732062163,13.3,5.2
1732062164,11.7,4.2
1732062165,9.9,3.8
1732062166,12.8,4.8
1732062167,12.1,5.1
1732062168,11.5,4.7
1732062169,8.3,3.5
1732062170,5.8,2.7
1732062171,8.2,2.9
1732062172,3.0,1.1
1732062173,1.8,0.6
1732062174,11.4,3.7
1732062175,8.6,3.4
1732062176,8.4,3.0
1732062177,13.4,4.9
1732062178,12.3,4.6
1732062179,11.8,4.6
1732062180,14.7,5.8
1732062181,12.1,5.2
1732062182,10.9,4.1
1732062183,11.6,4.4
1732062184,7.8,3.0
1732062185,7.2,2.5
1732062186,11.0,4.3
1732062187,10.9,4.0
1732062188,9.8,3.3
1732062189,11.3,4.3
1732062190,11.8,4.7
1732062191,11.4,4.2
1732062192,20.4,7.0
1732062193,10.4,4.3
1732062194,8.6,2.9
1732062195,11.5,4.8
1732062196,10.1,3.8
1732062197,12.5,4.9
1732062198,14.5,5.8
1732062199,12.1,4.5
1732062200,12.8,4.5
1732062201,10.6,4.3
1732062202,11.4,4.7
1732062203,14.1,5.2
1732062204,19.3,6.7
1732062205,14.7,5.6
1732062206,17.0,6.2
1732062207,15.0,5.9
1732062208,21.3,7.4
1732062209,19.9,6.7
1732062210,12.9,4.7
1732062211,17.2,6.8
1732062212,14.9,5.6
1732062213,11.9,4.1
1732062214,16.5,6.1
1732062215,14.4,5.3
1732062216,11.2,4.5
1732062217,12.0,4.7
1732062218,14.5,5.7
1732062219,9.9,3.8
1732062220,13.2,5.1
1732062221,10.6,4.0
1732062222,12.5,4.8
1732062223,10.1,3.4
1732062224,8.6,3.5
1732062225,13.3,4.7
1732062226,13.0,5.1
1732062227,11.5,4.2
1732062228,12.5,4.5
1732062229,14.6,5.3
1732062230,13.5,5.3
1732062231,13.7,5.3
1732062232,12.5,4.9
1732062233,13.9,5.4
1732062234,19.9,7.2
1732062235,21.1,7.6
1732062236,23.3,8.7
1732062237,18.4,7.1
1732062238,14.2,5.3
1732062239,17.2,6.3
1732062240,18.1,6.3
1732062241,15.9,6.4
1732062242,17.2,6.4
1732062243,17.6,6.1
1732062244,17.8,6.6
1732062245,17.2,6.4
1732062246,18.5,6.3
1732062247,21.3,7.2
1732062248,23.3,7.4
1732062249,19.6,7.0
1732062250,21.0,7.8
1732062251,23.2,8.1
1732062252,18.7,6.4
1732062253,17.0,5.9
1732062254,20.7,6.9
1732062255,21.5,7.1
1732062256,14.3,4.8
1732062257,17.7,5.3
1732062258,14.4,4.7
1732062259,19.2,6.6
1732062260,12.6,4.5
1732062261,14.9,5.8
1732062262,17.5,6.1
1732062263,19.0,7.2
1732062264,14.9,5.1
1732062265,24.8,8.1
1732062266,18.6,6.3
1732062267,18.3,6.7
1732062268,21.2,6.6
1732062269,19.4,6.4
1732062270,17.2,5.5
1732062271,19.8,6.6
1732062272,18.9,6.2
1732062273,18.3,6.5
1732062274,14.8,4.7
1732062275,20.4,6.9
1732062276,23.0,7.9
1732062277,27.6,8.4
1732062278,24.8,7.9
1732062279,20.6,6.7
1732062280,13.1,4.3
1732062281,15.9,5.7
1732062282,23.0,6.9
1732062283,25.9,8.2
1732062284,19.4,7.0
1732062285,30.3,10.3
1732062286,31.3,9.2
1732062287,24.7,8.4
1732062288,28.1,8.7
1732062289,31.1,10.5
1732062290,31.1,9.9
1732062291,30.9,10.4
1732062292,29.7,10.6
1732062293,28.1,8.5
1732062294,26.2,7.7
1732062295,33.2,10.3
1732062296,29.4,9.1
1732062297,33.7,10.8
1732062298,33.0,10.3
1732062299,21.8,5.8
1732062300,27.7,8.6
1732062301,26.7,8.4
1732062302,28.3,9.0
1732062303,21.2,6.7
1732062304,30.7,9.2
1732062305,29.2,9.0
1732062306,30.4,9.4
1732062307,37.9,11.5
1732062308,33.3,10.4
1732062309,29.3,8.5
1732062310,28.8,9.3
1732062311,21.3,6.4
1732062312,23.4,7.5
1732062313,37.5,10.4
1732062314,33.5,10.5
1732062315,33.5,9.7
1732062316,39.1,11.6
1732062317,33.6,10.1
1732062318,35.4,10.4
1732062319,30.0,9.8
1732062320,36.3,10.3
1732062321,35.6,10.9
1732062322,36.8,11.3
1732062323,31.9,9.7
1732062324,28.5,8.5
1732062325,41.5,13.1
1732062326,38.6,11.6
1732062327,45.6,13.6
1732062328,40.7,11.3
1732062329,29.1,8.7
1732062330,35.4,9.3
1732062331,37.2,10.7
1732062332,33.8,9.0
1732062333,32.1,9.2
1732062334,43.0,11.9
1732062335,32.4,9.6
1732062336,36.3,9.6
1732062337,41.1,12.3
1732062338,45.7,12.7
1732062339,50.9,13.8
1732062340,39.5,11.3
1732062341,42.8,12.3
1732062342,43.7,13.1
1732062343,41.1,11.9
1732062344,27.1,7.6
1732062345,30.8,8.7
1732062346,31.9,8.7
1732062347,38.1,10.5
1732062348,44.0,12.1
1732062349,34.2,10.2
1732062350,41.4,10.9
1732062351,42.1,12.2
1732062352,41.3,11.8
1732062353,41.2,11.4
1732062354,39.5,10.7
1732062355,8.9,2.5
1732062356,2.0,1.1
1732062357,0.4,0.3
1732062358,0.1,0.3
1732062359,0.1,0.1
1732062360,0.0,0.3
