#min
1732926219,896778
1732926220,147334
1732926221,136171
1732926222,137120
1732926223,136170
1732926224,135017
1732926225,136050
1732926226,137440
1732926227,136367
1732926228,136136
1732926229,136213
1732926230,135562
1732926231,136340
1732926232,137076
1732926233,136006
1732926234,136955
1732926235,138717
1732926236,136580
1732926237,136636
1732926238,136395
1732926239,136568
1732926240,134879
1732926241,136334
1732926242,135932
1732926243,135629
1732926244,135321
1732926245,136848
1732926246,135493
1732926247,137472
1732926248,135666
1732926249,136648
1732926250,137848
1732926251,136983
1732926252,134799
1732926253,137279
1732926254,137284
1732926255,136674
1732926256,137348
1732926257,138786
1732926258,138053
1732926259,137653
1732926260,136606
1732926261,136725
1732926262,215253
1732926263,138993
1732926264,135578
1732926265,136393
1732926266,136867
1732926267,135235
1732926268,134662
1732926269,136348
1732926270,137351
1732926271,136619
1732926272,137287
1732926273,138852
1732926274,326123
1732926275,135974
1732926276,135941
1732926277,137231
1732926278,137057
1732926279,138819
1732926280,587285
1732926281,590414
1732926282,423746
1732926283,507372
1732926284,362983
1732926285,240261
1732926286,137798
1732926287,135997
1732926288,135758
1732926289,136237
1732926290,135915
1732926291,137998
1732926292,385023
1732926293,314666
1732926294,540117
1732926295,453474
1732926296,362067
1732926297,328784
1732926298,324875
1732926299,323806
1732926300,494514
1732926301,351357
1732926302,404538
1732926303,318541
1732926304,244853
1732926305,271390
1732926306,287781
1732926307,310794
1732926308,360560
1732926309,368815
1732926310,339496
1732926311,349389
1732926312,319189
1732926313,338217
1732926314,369181
1732926315,343787
1732926316,272043
1732926317,309711
1732926318,799903
1732926319,338014
1732926320,291004
1732926321,337889
1732926322,313585
1732926323,315565
1732926324,268124
1732926325,337655
1732926326,363633
1732926327,347348
1732926328,409924
1732926329,434824
1732926330,369673
1732926331,427193
1732926332,384488
1732926333,371775
1732926334,343191
1732926335,374333
1732926336,412838
1732926337,404427
1732926338,360256
1732926339,393485
1732926340,388294
1732926341,347668
1732926342,305053
1732926343,323964
1732926344,468051
1732926345,398197
1732926346,492197
1732926347,322375
1732926348,345971
1732926349,449427
1732926350,382171
1732926351,358389
1732926352,356328
1732926353,382663
1732926354,381596
1732926355,401258
1732926356,416872
1732926357,533399
1732926358,390172
1732926359,398365
1732926360,342321
1732926361,363133
1732926362,487699
1732926363,523855
1732926364,685283
1732926365,1081868
1732926366,804305
1732926367,812729
1732926368,508898
