#min
60,134506
120,134455
240,164143
480,253807
960,312996
1920,27440182
#max
60,1542715
120,10183959
240,34676781
480,184075745
960,180422520
1920,145295412
#mean
60,171969
120,344094
240,1116974
480,1263321
960,12695751
1920,74012504
#median
60,150895
120,170490
240,621475
480,452005
960,2038156
1920,48101786
#p90
60,206520
120,645227
240,2148717
480,1566483
960,52157294
1920,120241798
#p95
60,265832
120,1142544
240,2844781
480,4599968
960,53974632
1920,122787937
#p99
60,596204
120,2538004
240,5991325
480,15120773
960,80226617
1920,135538674
