timestamp,user,system
1732061686,0.0,0.1
1732061687,0.0,0.0
1732061688,0.5,0.5
1732061689,0.1,0.1
1732061690,0.0,0.0
1732061691,0.0,0.1
1732061692,0.0,0.0
1732061693,0.0,0.1
1732061694,0.5,0.3
1732061695,0.0,0.0
1732061696,0.0,0.0
1732061697,0.7,1.1
1732061698,0.0,0.3
1732061699,0.1,0.0
1732061700,0.0,0.0
1732061701,0.0,0.1
1732061702,0.0,0.1
1732061703,0.0,0.0
1732061704,0.1,0.1
1732061705,0.6,0.4
1732061706,2.3,1.0
1732061707,1.3,1.4
1732061708,0.5,0.5
1732061709,0.6,0.8
1732061710,0.5,0.9
1732061711,1.0,2.3
1732061712,0.3,1.4
1732061713,0.4,1.1
1732061714,0.5,1.1
1732061715,0.6,1.5
1732061716,0.8,1.4
1732061717,0.8,1.6
1732061718,0.6,1.3
1732061719,0.9,1.4
1732061720,0.9,1.8
1732061721,0.5,1.3
1732061722,0.5,1.0
1732061723,0.6,1.0
1732061724,0.8,1.1
1732061725,0.5,1.4
1732061726,0.3,1.0
1732061727,0.5,0.5
1732061728,0.6,1.1
1732061729,0.6,1.1
1732061730,0.8,1.5
1732061731,0.4,1.1
1732061732,0.5,1.1
1732061733,0.6,1.1
1732061734,0.5,0.9
1732061735,0.5,0.8
1732061736,0.9,1.8
1732061737,0.9,1.3
1732061738,0.6,1.5
1732061739,1.0,1.8
1732061740,1.1,1.8
1732061741,1.5,1.6
1732061742,0.9,1.3
1732061743,1.1,1.8
1732061744,0.9,2.0
1732061745,0.6,1.3
1732061746,0.9,1.7
1732061747,0.8,1.7
1732061748,0.9,1.8
1732061749,1.0,1.8
1732061750,0.6,1.1
1732061751,0.8,1.4
1732061752,0.6,1.3
1732061753,0.8,1.1
1732061754,0.6,2.0
1732061755,1.0,1.7
1732061756,0.6,1.6
1732061757,1.0,1.7
1732061758,0.9,1.9
1732061759,0.3,0.6
1732061760,0.9,1.5
1732061761,1.0,2.3
1732061762,1.0,1.8
1732061763,0.8,1.4
1732061764,0.8,1.4
1732061765,1.0,1.4
1732061766,0.8,1.9
1732061767,0.8,1.5
1732061768,1.0,1.6
1732061769,0.8,1.5
1732061770,0.6,1.3
1732061771,0.8,1.0
1732061772,1.3,1.9
1732061773,1.1,1.9
1732061774,1.4,2.3
1732061775,0.8,1.8
1732061776,1.2,1.9
1732061777,0.6,1.7
1732061778,1.5,2.6
1732061779,1.3,2.2
1732061780,1.8,2.4
1732061781,1.3,2.3
1732061782,0.9,1.9
1732061783,1.0,1.7
1732061784,0.8,1.7
1732061785,0.9,1.5
1732061786,1.3,1.7
1732061787,1.9,2.3
1732061788,1.3,2.0
1732061789,1.3,2.4
1732061790,1.1,2.3
1732061791,1.3,2.4
1732061792,0.9,1.9
1732061793,1.5,2.2
1732061794,1.8,2.5
1732061795,1.1,1.9
1732061796,2.0,2.5
1732061797,1.0,1.8
1732061798,0.8,1.6
1732061799,0.9,2.0
1732061800,0.9,1.8
1732061801,1.8,2.4
1732061802,2.2,2.9
1732061803,1.4,2.7
1732061804,1.8,3.2
1732061805,1.7,3.1
1732061806,1.1,2.4
1732061807,1.8,2.8
1732061808,1.9,3.3
1732061809,1.8,2.6
1732061810,1.4,2.5
1732061811,1.0,2.4
1732061812,1.5,2.2
1732061813,1.7,3.1
1732061814,1.1,1.8
1732061815,1.4,1.9
1732061816,1.3,2.3
1732061817,1.3,2.3
1732061818,1.0,2.0
1732061819,1.3,2.3
1732061820,1.8,2.7
1732061821,1.1,1.7
1732061822,1.4,2.8
1732061823,1.5,2.2
1732061824,1.5,1.8
1732061825,1.8,3.2
1732061826,1.0,2.0
1732061827,1.7,2.7
1732061828,1.5,2.1
1732061829,0.8,1.4
1732061830,1.0,1.6
1732061831,1.4,1.8
1732061832,2.0,2.7
1732061833,2.3,3.1
1732061834,2.4,2.9
1732061835,2.2,2.7
1732061836,1.4,2.3
1732061837,1.9,3.2
1732061838,1.8,2.3
1732061839,1.8,2.2
1732061840,1.8,2.8
1732061841,1.4,2.2
1732061842,2.2,2.5
1732061843,0.8,1.1
1732061844,2.4,2.8
1732061845,1.1,1.8
1732061846,1.7,1.8
1732061847,1.4,2.2
1732061848,1.4,2.0
1732061849,1.5,1.3
1732061850,1.7,2.7
1732061851,1.5,1.9
1732061852,1.1,1.5
1732061853,1.3,1.8
1732061854,2.4,2.7
1732061855,1.8,2.6
1732061856,1.8,2.4
1732061857,1.5,1.8
1732061858,1.3,1.6
1732061859,1.9,2.8
1732061860,2.9,2.8
1732061861,1.9,2.5
1732061862,2.0,2.3
1732061863,1.5,1.8
1732061864,2.3,1.8
1732061865,1.9,1.9
1732061866,1.5,1.6
1732061867,2.1,1.9
1732061868,1.4,1.9
1732061869,1.6,1.8
1732061870,1.9,1.4
1732061871,2.1,2.4
1732061872,1.3,1.6
1732061873,3.2,2.1
1732061874,2.0,2.4
1732061875,2.3,2.8
1732061876,2.2,1.9
1732061877,2.3,3.1
1732061878,2.0,2.4
1732061879,2.5,2.4
1732061880,2.0,2.8
1732061881,2.7,3.4
1732061882,3.1,2.9
1732061883,2.7,2.9
1732061884,1.9,2.5
1732061885,3.1,2.8
1732061886,2.7,2.9
1732061887,2.6,3.1
1732061888,2.0,3.1
1732061889,2.7,2.9
1732061890,2.5,2.4
1732061891,1.8,2.3
1732061892,2.4,3.1
1732061893,2.9,2.5
1732061894,2.5,3.3
1732061895,3.6,3.3
1732061896,2.5,2.8
1732061897,2.3,2.6
1732061898,1.5,1.5
1732061899,2.0,2.3
1732061900,2.7,2.1
1732061901,1.6,1.8
1732061902,2.0,2.3
1732061903,2.7,2.6
1732061904,2.5,2.9
1732061905,2.8,3.3
1732061906,3.2,2.4
1732061907,2.4,2.7
1732061908,2.3,2.5
1732061909,1.8,1.8
1732061910,1.8,2.3
1732061911,3.3,2.8
1732061912,2.0,2.3
1732061913,2.3,2.8
1732061914,2.8,2.9
1732061915,3.6,2.9
1732061916,3.1,3.2
1732061917,2.3,2.9
1732061918,2.0,2.3
1732061919,1.9,1.6
1732061920,2.0,1.9
1732061921,1.3,1.1
1732061922,0.5,0.3
1732061923,1.3,0.6
1732061924,0.5,0.1
1732061925,0.0,0.1
1732061926,0.0,0.0
1732061927,0.0,0.1
