#min
60,134879
120,134662
240,137998
480,305053
960,316287
1920,277804
#max
60,896778
120,1532595
240,11633676
480,42458568
960,94418624
1920,62649515
#mean
60,156534
120,255416
240,558325
480,877713
960,2882821
1920,3212394
#median
60,145423
120,167624
240,421509
480,482766
960,828641
1920,550958
#p90
60,166771
120,539142
240,809730
480,882981
960,5692771
1920,9407611
#p95
60,189203
120,704619
240,1250439
480,1437996
960,11727445
1920,20730049
#p99
60,473751
120,1117678
240,2740864
480,8497704
960,42090797
1920,33271418
