timestamp,uss
1732062132,42778624
1732062133,42778624
1732062134,42778624
1732062135,42831872
1732062136,42987520
1732062137,43769856
1732062138,45223936
1732062139,46804992
1732062140,48164864
1732062141,49360896
1732062142,50630656
1732062143,51216384
1732062144,53587968
1732062145,55783424
1732062146,58118144
1732062147,59781120
1732062148,60735488
1732062149,61050880
1732062150,61399040
1732062151,61657088
1732062152,62173184
1732062153,62853120
1732062154,63463424
1732062155,64684032
1732062156,64876544
1732062157,66048000
1732062158,66547712
1732062159,66678784
1732062160,65679360
1732062161,65880064
1732062162,66248704
1732062163,66830336
1732062164,67244032
1732062165,65896448
1732062166,66527232
1732062167,67084288
1732062168,68288512
1732062169,68657152
1732062170,68956160
1732062171,69201920
1732062172,69230592
1732062173,69279744
1732062174,70152192
1732062175,70639616
1732062176,70762496
1732062177,71004160
1732062178,71163904
1732062179,71299072
1732062180,71340032
1732062181,71352320
1732062182,71360512
1732062183,71380992
1732062184,71393280
1732062185,71360512
1732062186,71364608
1732062187,71376896
1732062188,71385088
1732062189,71385088
1732062190,71385088
1732062191,71385088
1732062192,71397376
1732062193,71397376
1732062194,71397376
1732062195,71413760
1732062196,71385088
1732062197,71397376
1732062198,71405568
1732062199,71405568
1732062200,71405568
1732062201,71405568
1732062202,71413760
1732062203,71192576
1732062204,71892992
1732062205,72216576
1732062207,72400896
1732062208,72540160
1732062209,72720384
1732062210,73265152
1732062211,75554816
1732062212,76693504
1732062213,76926976
1732062214,77041664
1732062215,77524992
1732062216,78061568
1732062217,78053376
1732062218,78135296
1732062219,78213120
1732062220,78217216
1732062221,78192640
1732062222,78204928
1732062223,78229504
1732062224,78229504
1732062225,78319616
1732062226,78331904
1732062227,78336000
1732062228,78368768
1732062229,78364672
1732062230,78409728
1732062231,78495744
1732062232,78491648
1732062233,78757888
1732062234,78811136
1732062235,79593472
1732062236,79929344
1732062237,80166912
1732062238,82001920
1732062239,82165760
1732062240,82354176
1732062241,82669568
1732062242,82935808
1732062243,83369984
1732062244,83599360
1732062245,84660224
1732062246,85463040
1732062247,85987328
1732062248,87252992
1732062249,88154112
1732062250,89509888
1732062251,91201536
1732062252,92241920
1732062253,93200384
1732062254,94203904
1732062255,96194560
1732062256,97329152
1732062257,98144256
1732062258,99004416
1732062259,101167104
1732062260,102629376
1732062261,102895616
1732062262,103227392
1732062263,103620608
1732062264,104181760
1732062265,105996288
1732062266,107819008
1732062267,111431680
1732062268,114237440
1732062269,116396032
1732062270,117714944
1732062271,119492608
1732062272,123424768
1732062273,124596224
1732062274,126476288
1732062275,128360448
1732062276,132653056
1732062277,137637888
1732062278,142249984
1732062279,144429056
1732062280,147591168
1732062281,148619264
1732062282,152838144
1732062283,156930048
1732062284,160669696
1732062285,165224448
1732062286,172507136
1732062287,175452160
1732062288,181923840
1732062289,184270848
1732062290,189779968
1732062291,192000000
1732062292,200155136
1732062293,204566528
1732062294,209440768
1732062295,212037632
1732062296,213053440
1732062297,215478272
1732062298,219066368
1732062299,228241408
1732062300,231251968
1732062301,238403584
1732062302,244195328
1732062303,248614912
1732062304,253423616
1732062305,259739648
1732062306,263905280
1732062307,268414976
1732062308,276963328
1732062309,277413888
1732062310,278401024
1732062311,278556672
1732062312,279781376
1732062313,280363008
1732062314,284098560
1732062315,289173504
1732062316,295563264
1732062317,302698496
1732062318,309886976
1732062319,312774656
1732062320,316702720
1732062321,318259200
1732062322,321978368
1732062323,322871296
1732062324,324943872
1732062325,329142272
1732062326,332091392
1732062327,337084416
1732062328,339529728
1732062329,343846912
1732062330,346443776
1732062331,352362496
1732062332,353165312
1732062333,356577280
1732062334,363868160
1732062335,369631232
1732062336,374276096
1732062337,381407232
1732062338,389201920
1732062339,394928128
1732062340,398114816
1732062341,402972672
1732062342,406351872
1732062343,407609344
1732062344,408317952
1732062345,411807744
1732062346,414130176
1732062347,417992704
1732062348,421150720
1732062349,421679104
1732062350,427773952
1732062351,430116864
1732062352,432369664
1732062353,433704960
1732062354,438374400
1732062355,368402432
1732062356,303611904
1732062357,291319808
1732062358,272195584
1732062359,249585664
1732062360,231538688
1732062361,212959232
1732062362,196894720
