#min
60,134627
120,139344
240,229780
480,256821
960,279605
1920,369802
#max
60,1690801
120,20938905
240,68180495
480,70603813
960,58505782
1920,67011363
#mean
60,161516
120,1086566
240,2892547
480,4505930
960,4620098
1920,4586291
#median
60,145926
120,723928
240,1923249
480,2400619
960,2307396
1920,2292205
#p90
60,160917
120,2227343
240,5111270
480,8395149
960,9922899
1920,10619891
#p95
60,184536
120,2975429
240,7904168
480,16006837
960,18495826
1920,16536090
#p99
60,664091
120,6171875
240,19129841
480,51572531
960,38594412
1920,35479557
